lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	test	en prøve	/ˈprøːʋə/	Vi har prøve i morgen.	[audio](audio/forvo_no/no_pr_ve_611356_001.mp3)
noun	quiz	en quiz	/kwɪs/	Det er en kort quiz.	[audio](audio/forvo_no/no_quiz_4556372_001.mp3)
noun	report	en innlevering	/ˈɪnːləˌʋeːrɪŋ/	Innleveringen er på fredag.	[audio](audio/forvo_no/no_innlevering_4764773_001.mp3)
noun	deadline	en frist	/frɪst/	Fristen er klokka to.	[audio](audio/forvo_no/no_Frist_6914564_001.mp3)
noun	schedule	en timeplan	/ˈtiːməˌplɑːn/	Timeplanen henger på veggen.	
noun	attendance	en oppmøte	/ˈɔpːmøːtə/	Oppmøte er obligatorisk.	
noun	absence	en fravær	/ˈfrɑːʋæːr/	Fravær må meldes.	[audio](audio/forvo_no/no_frav_r_2589904_001.mp3)
noun	certificate	en bevis	/ˈbæɪʋɪs/	Jeg trenger kursbevis.	[audio](audio/forvo_no/no_bevis_1065582_001.mp3)
noun	course	et kurs	/kʉːʂ/	Kurset er på kvelden.	[audio](audio/forvo_no/no_Kurs_724295_001.mp3)
noun	level	en nivå	/nɪˈʋoː/	Jeg er på A2-nivå.	[audio](audio/forvo_no/no_niv_8261992_001.mp3)
noun	grade scale	en karakterskala	/kɑˈrɑktərˌskɑːlɑ/	Karakterskalaen er 1 til 6.	
verb	to explain	å forklare, forklarer, forklarte, har forklart	/fɔˈklɑːrə/	Læreren forklarer igjen.	
verb	to write	å skrive, skriver, skrev, har skrevet	/ˈskriːʋə/	Jeg skriver et svar.	[audio](audio/forvo_no/no_skrive_1167436_001.mp3)
verb	to read	å lese, leser, leste, har lest	/ˈleːsə/	Vi leser teksten høyt.	
verb	to listen	å lytte, lytter, lyttet, har lyttet	/ˈlʏtːə/	Lytt til dialogen.	[audio](audio/forvo_no/no_lytte_3555504_001.mp3)
verb	to speak	å snakke, snakker, snakket, har snakket	/ˈsnɑkːə/	Vi snakker norsk.	[audio](audio/forvo_no/no_snakke_1268979_001.mp3)
verb	to practice	å øve, øver, øvde, har øvd	/ˈøːʋə/	Vi øver på uttale.	[audio](audio/forvo_no/no_ve_1065691_001.mp3)
verb	to ask	å spørre, spør, spurte, har spurt	/ˈspøːrə/	Spør læreren hvis du lurer.	[audio](audio/forvo_no/no_sp_rre_1365716_001.mp3)
verb	to answer	å svare, svarer, svarte, har svart	/ˈsʋɑːrə/	Jeg svarer på spørsmålet.	[audio](audio/forvo_no/no_svare_1331464_001.mp3)
verb	to correct	å rette, retter, rettet, har rettet	/ˈrɛtːə/	Læreren retter teksten.	
verb	to hand in	å levere inn, leverer inn, leverte inn, har levert inn	/ˈleːʋərə ɪn/	Jeg leverer inn oppgaven.	
verb	to take notes	å ta notater, tar notater, tok notater, har tatt notater	/tɑ nuˈtɑːtər/	Jeg tar notater i timen.	
verb	to repeat	å gjenta, gjentar, gjentok, har gjentatt	/jɛnˈtɑː/	Kan du gjenta det?	
verb	to translate	å oversette, oversetter, oversatte, har oversatt	/ˈuːʋərsɛtːə/	Vi oversetter teksten.	[audio](audio/forvo_no/no_oversette_293670_001.mp3)
verb	to pronounce	å uttale, uttaler, uttalte, har uttalt	/ˈʉtːɑːlə/	Hvordan uttaler man dette?	[audio](audio/forvo_no/no_uttale_222948_001.mp3)
verb	to improve	å forbedre, forbedrer, forbedret, har forbedret	/fʊrˈbeːdrə/	Jeg vil forbedre norsken min.	[audio](audio/forvo_no/no_forbedre_4340446_001.mp3)
verb	to check	å kontrollere, kontrollerer, kontrollerte, har kontrollert	/kʊnˈtrɔlːeːrə/	Vi kontrollerer svarene.	[audio](audio/forvo_no/no_kontrollere_4071940_001.mp3)
verb	to pass	å bestå, består, bestod, har bestått	/bəˈstoː/	Jeg håper å bestå prøven.	[audio](audio/forvo_no/no_best_1068366_001.mp3)
verb	to fail	å stryke, stryker, strøk, har strøket	/ˈstryːkə/	Jeg vil ikke stryke.	[audio](audio/forvo_no/no_stryke_4741794_001.mp3)
adjective	correct	riktig	/ˈrɪkːtɪ/	Svaret er riktig.	[audio](audio/forvo_no/no_riktig_821073_001.mp3)
adjective	wrong	feil	/fæɪl/	Dette er feil.	[audio](audio/forvo_no/no_feil_805065_001.mp3)
adjective	quiet	stille	/ˈstɪlːə/	Vær stille i timen.	[audio](audio/forvo_no/no_stille_767362_001.mp3)
adjective	noisy	bråkete	/ˈbrɔːkətə/	Klassen er bråkete.	
adjective	prepared	forberedt	/fɔrˈbæːrt/	Jeg er forberedt.	
adjective	late	for sen	/fɔr seːn/	Jeg er for sen i dag.	
adjective	hard	krevende	/ˈkreːʋəndə/	Dette er krevende stoff.	[audio](audio/forvo_no/no_krevende_6474632_001.mp3)
adjective	interesting	interessant	/ɪntəˈrɛsːɑnt/	Dette er interessant.	[audio](audio/forvo_no/no_interessant_6333896_001.mp3)
expression	What does it mean?	Hva betyr det?	/ʋɑ bəˈtyːr deː/	Hva betyr dette ordet?	
expression	How do you say ...?	Hvordan sier man ...?	/ʋuˈdɑn ˈsiːr mɑn/	Hvordan sier man det på norsk?	
expression	I don't understand.	Jeg forstår ikke.	/jæɪ fɔʂˈtoːr ˈɪkə/	Jeg forstår ikke oppgaven.	
expression	Can you help me?	Kan du hjelpe meg?	/kɑn dʉ ˈjɛlpə mæɪ/	Kan du hjelpe meg med dette?	
expression	I am finished.	Jeg er ferdig.	/jæɪ ær ˈfæːɖɪ/	Jeg er ferdig med prøven.	
noun	principal	en rektor	/ˈrɛkːtʊr/	Rektoren holder tale.	[audio](audio/forvo_no/no_rektor_141785_001.mp3)
noun	classmate	en klassekamerat	/ˈklɑsəˌkɑməˌrɑːt/	Klassekameraten min er hyggelig.	[audio](audio/forvo_no/no_klassekamerat_6365762_001.mp3)
noun	school library	et skolebibliotek	/ˈskuːləˌbɪbliɔˌteːk/	Jeg låner bøker på skolebiblioteket.	
noun	dictionary	en ordbok	/ˈuːʈbuːk/	Jeg bruker ordbok i timen.	[audio](audio/forvo_no/no_ordbok_315683_001.mp3)
noun	graduation	en avslutning	/ˈɑːʋslʉtːnɪŋ/	Avslutningen er i juni.	[audio](audio/forvo_no/no_avslutning_1065982_001.mp3)
noun	semester break	en ferie	/ˈfeːriə/	Vi har ferie i juli.	[audio](audio/forvo_no/no_ferie_743145_001.mp3)
noun	computer	en datamaskin	/ˈdɑːtɑˌmɑʂiːn/	Vi bruker datamaskin i undervisningen.	[audio](audio/forvo_no/no_datamaskin_623369_001.mp3)
noun	online class	en nettundervisning	/ˈnɛtːʉnˌdæʁʋɪsnɪŋ/	Vi har nettundervisning i dag.	
noun	blackboard	en tavle	/ˈtɑːʋlə/	Tavla er ren.	
noun	whiteboard marker	en tusj	/tʉʂ/	Jeg trenger en tusj.	[audio](audio/forvo_no/no_tusj_4614037_001.mp3)
noun	schedule change	en timeplanendring	/ˈtiːməˌplɑːnˌɛndrɪŋ/	Det er en timeplanendring.	
noun	group	en gruppe	/ˈɡrʉpə/	Vi jobber i en gruppe.	[audio](audio/forvo_no/no_Gruppe_1167212_001.mp3)
verb	to hand out	å dele ut, deler ut, delte ut, har delt ut	/ˈdeːlə ʉːt/	Læreren deler ut ark.	
verb	to review	å gå gjennom, går gjennom, gikk gjennom, har gått gjennom	/ɡoː ˈjɛnːəm/	Vi går gjennom oppgaven.	
adjective	absent	fraværende	/ˈfrɑːʋæːrənə/	Han er fraværende i dag.	[audio](audio/forvo_no/no_frav_rende_2077484_001.mp3)
expression	May I ask a question?	Kan jeg stille et spørsmål?	/kɑn jæɪ ˈstɪlːə et ˈspøːrsmɔːl/	Kan jeg stille et spørsmål?	
