lexical-category	english	norwegian	pronunciation	example_sentence	audio_file
noun	poetry	en dikt	/dɪkt/	Jeg liker dikt.	docs/assets/audio/forvo_no/no_dikt_4746669_001.mp3
noun	comic	en tegneserie	/ˈtæɪnəˌseːriə/	Han leser tegneserier.	docs/assets/audio/forvo_no/no_tegneserie_4772669_001.mp3
noun	children's book	en barnebok	/ˈbɑːrnəˌbuːk/	Vi låner barnebøker.	null
noun	audiobook	en lydbok	/ˈlyːdˌbuːk/	Jeg hører på lydbok.	docs/assets/audio/forvo_no/no_lydbok_800652_001.mp3
noun	e-book	en e-bok	/ˈeːˌbuːk/	E-boken er utlånt.	null
noun	DVD	en DVD	/deːˌʋeːˌdeː/	De har også DVD-er.	docs/assets/audio/forvo_no/no_DVD_6464210_001.mp3
noun	CD	en CD	/seːˌdeː/	Jeg låner en CD.	null
noun	newspaper	en avis	/ɑˈʋiːs/	Avisen ligger her.	docs/assets/audio/forvo_no/no_Avis_4340511_001.mp3
noun	magazine	et magasin	/mɑɡɑˈsiːn/	Jeg blar i et magasin.	docs/assets/audio/forvo_no/no_magasin_4328586_001.mp3
noun	issue	en utgave	/ˈʉtɡɑːʋə/	Dette er siste utgave.	docs/assets/audio/forvo_no/no_utgave_3724906_001.mp3
noun	section	en avdeling	/ˈɑːʋdeːlɪŋ/	Barneavdelingen er der.	docs/assets/audio/forvo_no/no_avdeling_583024_001.mp3
noun	children's section	en barneavdeling	/ˈbɑːrnəˌɑːʋdeːlɪŋ/	Barneavdelingen er åpen.	null
noun	new release	en nyhet	/ˈnyːheːtər/	Nyheten står ved inngangen.	docs/assets/audio/forvo_no/no_nyhet_825785_001.mp3
noun	return box	en innleveringsboks	/ˈɪnːləˌʋeːrɪŋsˌbɔks/	Legg boka i innleveringsboksen.	null
noun	reservation	en reservasjon	/resɛrʋɑˈʂuːn/	Jeg har en reservasjon.	docs/assets/audio/forvo_no/no_reservasjon_1482707_001.mp3
noun	hold	en reservasjon	/resɛrʋɑˈʂuːn/	Boka er på reservasjon.	docs/assets/audio/forvo_no/no_reservasjon_1482707_001.mp3
noun	late fee	en purregebyr	/ˈpʉrːəɡəˌbyːr/	Det er purregebyr.	null
noun	fine	en bot	/buːt/	Jeg fikk en bot.	docs/assets/audio/forvo_no/no_Bot_4614044_001.mp3
noun	loan period	en lånetid	/ˈloːnəˌtiːd/	Lånetiden er tre uker.	null
noun	return date	en innleveringsdato	/ˈɪnːləˌʋeːrɪŋsˌdɑːtu/	Innleveringsdatoen er i morgen.	null
noun	staff	en ansatte	/ˈɑnˌsɑtːə/	De ansatte hjelper deg.	docs/assets/audio/forvo_no/no_ansatte_4742441_001.mp3
noun	librarian	en bibliotekar	/bɪblɪʊtəˈkɑːr/	Bibliotekaren kan hjelpe.	docs/assets/audio/forvo_no/no_bibliotekar_1167585_001.mp3
noun	quiet room	en stillerom	/ˈstɪlːəˌrʊm/	Stillerommet er ledig.	null
noun	reading room	en lesesal	/ˈleːsəˌsɑːl/	Lesesalen er stille.	docs/assets/audio/forvo_no/no_lesesal_4330609_001.mp3
noun	study place	en leseplass	/ˈleːsəˌplɑs/	Jeg finner en leseplass.	null
noun	computer	en datamaskin	/ˈdɑːtɑˌmɑʂiːn/	Datamaskinene er ledige.	docs/assets/audio/forvo_no/no_datamaskin_623369_001.mp3
noun	printer	en skriver	/ˈskriːʋər/	Jeg må bruke skriveren.	docs/assets/audio/forvo_no/no_skriver_4342531_001.mp3
noun	printing	en utskrift	/ˈʉtʂkrɪft/	Utskrift koster to kroner.	docs/assets/audio/forvo_no/no_utskrift_4748481_001.mp3
noun	scanner	en skanner	/ˈskɑnːər/	Skanneren står der.	docs/assets/audio/forvo_no/no_skanner_5950763_001.mp3
noun	copy	en kopi	/ˈkuːpi/	Jeg trenger en kopi.	null
noun	reference	en oppslagsverk	/ˈɔpːslɑksʋærk/	Oppslagsverk kan ikke lånes.	null
noun	encyclopedia	et leksikon	/ˈlɛksɪkɔn/	Leksikonet står i referanse.	docs/assets/audio/forvo_no/no_leksikon_4331662_001.mp3
noun	dictionary	en ordbok	/ˈuːʈbuːk/	Jeg bruker ordbok.	docs/assets/audio/forvo_no/no_ordbok_315683_001.mp3
noun	language course	en språkkurs	/ˈsprɔkˌkʉːʂ/	Biblioteket har språkkurs.	null
noun	event	et arrangement	/ɑrɑŋəˈmɑŋ/	Det er et arrangement.	docs/assets/audio/forvo_no/no_arrangement_2330673_001.mp3
noun	author talk	en forfattermøte	/ˈfɔʈfɑtərˌmøːtə/	Det er forfattermøte i kveld.	null
noun	opening hour	en åpningstid	/ˈoːpnɪŋsˌtiːdər/	Åpningstiden står på døra.	docs/assets/audio/forvo_no/no_pningstid_3243771_001.mp3
verb	to search	å søke, søker, søkte, har søkt	/ˈsøːkə/	Jeg søker etter en bok.	docs/assets/audio/forvo_no/no_s_ke_353326_001.mp3
verb	to reserve	å reservere, reserverer, reserverte, har reservert	/resərˈʋeːrə/	Jeg vil reservere boka.	docs/assets/audio/forvo_no/no_reservere_5025572_001.mp3
verb	to return	å levere tilbake, leverer tilbake, leverte tilbake, har levert tilbake	/ˈleːʋərə tɪlˈbɑːkə/	Jeg leverer boka tilbake.	null
verb	to borrow	å låne, låner, lånte, har lånt	/ˈloːnə/	Kan jeg låne denne?	docs/assets/audio/forvo_no/no_l_ne_1065563_001.mp3
verb	to renew	å fornye, fornyer, fornyet, har fornyet	/fɔrˈnyːə/	Jeg fornyer lånet.	null
verb	to print	å skrive ut, skriver ut, skrev ut, har skrevet ut	/ˈskriːʋə ʉːt/	Jeg skriver ut dokumentet.	docs/assets/audio/forvo_no/no_skrive_ut_1331462_001.mp3
verb	to scan	å skanne, skanner, skannet, har skannet	/ˈskɑnːə/	Jeg skanner siden.	docs/assets/audio/forvo_no/no_skanne_5950762_001.mp3
verb	to copy	å kopiere, kopierer, kopierte, har kopiert	/kʊˈpiːrə/	Kan jeg kopiere dette?	docs/assets/audio/forvo_no/no_kopiere_1502768_001.mp3
verb	to recommend	å anbefale, anbefaler, anbefalte, har anbefalt	/ˈɑnbəˌfɑːlə/	Kan du anbefale en bok?	null
adjective	available	ledig	/ˈleːdi/	Boka er ledig.	docs/assets/audio/forvo_no/no_ledig_4331367_001.mp3
adjective	on loan	utlånt	/ˈʉtloːnt/	Alle er utlånt.	null
adjective	quiet	stille	/ˈstɪlːə/	Det er stille her.	docs/assets/audio/forvo_no/no_stille_767362_001.mp3
adjective	busy	travelt	/ˈtrɑːʋəlt/	Det er travelt i dag.	docs/assets/audio/forvo_no/no_travelt_3427275_001.mp3
adjective	free	gratis	/ˈɡrɑːtɪs/	Det er gratis å låne.	null
expression	I need a library card.	Jeg trenger et lånekort.	/jæɪ ˈtrɛŋər et ˈloːnəˌkɔʈ/	Jeg trenger et lånekort.	null
expression	Where is the fiction section?	Hvor er skjønnlitteratur?	/ʋuːr ær ˈʂœnːlɪtəˌtʉːr/	Hvor er skjønnlitteratur?	null
expression	Can you help me find this?	Kan du hjelpe meg å finne dette?	/kɑn dʉ ˈjɛlpə mæɪ o ˈfɪnːə ˈdɛtə/	Kan du hjelpe meg å finne dette?	null
noun	non-fiction	en faglitteratur	/ˈfɑːɡˌlɪtəˌtʉːr/	Jeg leser faglitteratur.	docs/assets/audio/forvo_no/no_faglitteratur_6471172_001.mp3
noun	fiction	en skjønnlitteratur	/ˈʂœnːlɪtəˌtʉːr/	Skjønnlitteratur står der.	docs/assets/audio/forvo_no/no_skj_nnlitteratur_3808926_001.mp3
noun	biography	en biografi	/bɪʊɡrɑˈfiː/	Hun låner en biografi.	docs/assets/audio/forvo_no/no_biografi_4761041_001.mp3
noun	history	en historie	/hɪˈstuːriə/	Han liker historie.	null
noun	science	en vitenskap	/ˈʋiːtənˌʂɑp/	Jeg leser om vitenskap.	docs/assets/audio/forvo_no/no_vitenskap_1065512_001.mp3
noun	language	en språk	/sprɔk/	Språkbøkene er her.	docs/assets/audio/forvo_no/no_spr_k_780186_001.mp3
noun	course book	ei kursbok	/ˈkʉːʂˌbuːk/	Jeg trenger kursboka.	null
noun	library website	en bibliotekets nettside	/bɪblɪʊˈteːkəts ˈnɛtˌsiːdə/	Søk på bibliotekets nettside.	null
noun	opening time	en åpningstid	/ˈoːpnɪŋsˌtiːd/	Åpningstiden er klokka ti.	docs/assets/audio/forvo_no/no_pningstid_3243771_001.mp3
noun	closing time	en stenging	/ˈstɛŋɪŋ/	Stenging er klokka seks.	null
noun	return reminder	en purring	/ˈpʉrːɪŋ/	Jeg fikk en purring.	null
noun	library rule	en biblioteksregel	/bɪblɪʊˈteːksˌreːɡlər/	Biblioteksregelen henger på veggen.	null
noun	seat	en plass	/plɑs/	Det er en ledig plass.	docs/assets/audio/forvo_no/no_plass_743168_001.mp3
noun	study group	en lesegruppe	/ˈleːsəˌɡrʉpə/	Vi har en lesegruppe.	null
verb	to browse	å bla, blar, bladde, har bladd	/blɑː/	Jeg blar i boka.	docs/assets/audio/forvo_no/no_bla_1068325_001.mp3
verb	to log in	å logge inn, logger inn, logget inn, har logget inn	/ˈlɔɡːə ɪn/	Jeg logger inn på lånekontoen.	null
verb	to log out	å logge ut, logger ut, logget ut, har logget ut	/ˈlɔɡːə ʉːt/	Husk å logge ut.	null
verb	to reserve a seat	å reservere plass, reserverer plass, reserverte plass, har reservert plass	/resərˈʋeːrə plɑs/	Du kan reservere plass.	null
adjective	interesting	interessant	/ɪntəˈrɛsːɑnt/	Boka er interessant.	docs/assets/audio/forvo_no/no_interessant_6333896_001.mp3
expression	Where is the return box?	Hvor er innleveringsboksen?	/ʋuːr ær ˈɪnːləˌʋeːrɪŋsˌbɔksən/	Hvor er innleveringsboksen?	null
expression	Is it available?	Er den ledig?	/æːr dɛn ˈleːdi/	Er den ledig nå?	null
noun	library account	en lånekonto	/ˈloːnəˌkɔntu/	Jeg sjekker lånekontoen.	null
noun	return slip	en innleveringskvittering	/ˈɪnːləˌʋeːrɪŋsˌkʋɪˈteːrɪŋ/	Jeg fikk innleveringskvittering.	null
noun	floor	en etasje	/ɛˈtɑːʂə/	Bøkene er i andre etasje.	docs/assets/audio/forvo_no/no_etasje_805139_001.mp3
noun	staircase	en trapp	/trɑp/	Ta trappa opp.	docs/assets/audio/forvo_no/no_trapp_1034462_001.mp3
noun	e-library	et e-bibliotek	/ˈeːˌbɪblɪʊˈteːk/	E-biblioteket er tilgjengelig.	null
verb	to reserve online	å reservere på nett, reserverer på nett, reserverte på nett, har reservert på nett	/resərˈʋeːrə pɔː nɛt/	Jeg reserverer på nett.	null
verb	to pick up a hold	å hente reservasjon, henter reservasjon, hentet reservasjon, har hentet reservasjon	/ˈhɛnːtə resɛrʋɑˈʂuːn/	Jeg henter reservasjonen.	null
adjective	closed	stengt	/stɛŋt/	Biblioteket er stengt nå.	docs/assets/audio/forvo_no/no_stengt_5026187_001.mp3
expression	Can I get a library card today?	Kan jeg få lånekort i dag?	/kɑn jæɪ foː ˈloːnəˌkɔʈ i dɑːɡ/	Kan jeg få lånekort i dag?	null
