lexical-category	english	norwegian	pronunciation	example_sentence
verb	to refer	å henvise, henviser, henviset, har henviset	/ˈhɛnʋiːsə/	Legen henviser videre.
verb	to recover	å bli frisk, blir frisk, ble frisk, har blitt frisk	/bli frɪsk/	Jeg håper å bli frisk.
verb	to rest	å hvile, hviler, hvilte, har hvilt	/ˈʋiːlə/	Du bør hvile.
verb	to describe symptoms	å beskrive symptomer, beskriver symptomer, beskrev symptomer, har beskrevet symptomer	/beˈskriːʋə sympˈtuːmər/	Kan du beskrive symptomene?
adjective	urgent	akutt	/ɑˈkʉt/	Det er akutt.
adjective	mild	mild	/mɪl/	Smerten er mild.
adjective	severe	sterk	/stæʂk/	Smerten er sterk.
adjective	high (fever)	høy	/høːy/	Feberen er høy.
adjective	low (fever)	lav	/lɑːʋ/	Feberen er lav nå.
adjective	better	bedre	/ˈbeːdrə/	Jeg føler meg bedre.
adjective	worse	verre	/ˈʋæʁə/	Jeg føler meg verre.
adjective	tired	trøtt	/trœt/	Jeg er veldig trøtt.
adjective	nauseous	kvalm	/ˈkʋɑlm/	Jeg er kvalm.
adjective	short of breath	tungpustet	/ˈtʉŋˌpʉstət/	Jeg blir tungpustet.
expression	I need to see a doctor.	Jeg må til lege.	/jæɪ mɔː tɪl ˈleːɡə/	Jeg må til lege i dag.
expression	Do I need a referral?	Trenger jeg henvisning?	/ˈtrɛŋər jæɪ ˈhɛnʋiːsniŋ/	Trenger jeg henvisning til spesialist?
expression	I feel dizzy.	Jeg føler meg svimmel.	/jæɪ ˈføːlər mæɪ ˈsʋɪmːəl/	Jeg føler meg svimmel.
expression	I have a fever.	Jeg har feber.	/jæɪ hɑr ˈfeːbər/	Jeg har feber i dag.
expression	It hurts when I swallow.	Det gjør vondt å svelge.	/deːt ˈjøːr ʋɔnt o ˈsʋɛlɡə/	Det gjør vondt å svelge.
noun	appointment letter	et timebrev	/ˈtiːməˌbreːʋ/	Jeg fikk et timebrev.
noun	refill (prescription)	en fornyelse	/fɔrˈnyːəlsə/	Jeg trenger fornyelse av resept.
noun	pain scale	en smerteskala	/ˈsmæʈtəˌskɑːlɑ/	Smerteskala fra 1 til 10.
verb	to take blood pressure	å måle blodtrykk, måler blodtrykk, målte blodtrykk, har målt blodtrykk	/ˈmoːlə ˈbluːdˌtrʏk/	Sykepleieren måler blodtrykk.
adjective	chronic	kronisk	/ˈkruːnɪsk/	Det er en kronisk sykdom.
expression	I need a sick note.	Jeg trenger sykmelding.	/jæɪ ˈtrɛŋər ˈsyːkmɛldɪŋ/	Jeg trenger sykmelding.
expression	Can you check my blood pressure?	Kan du sjekke blodtrykket mitt?	/kɑn dʉ ˈʂɛkːə ˈbluːdˌtrʏkət mɪt/	Kan du sjekke blodtrykket mitt?
